start	end	probability	word
0.000000	0.280000	0.256853	 Duh
0.280000	0.320000	0.430743	 duh
0.320000	0.480000	0.279247	 dun
0.480000	0.700000	0.499069	 duh
0.700000	0.880000	0.668911	 dun
1.880000	2.360000	0.018154	 Hmm
3.340000	3.820000	0.833001	 Duh
3.820000	3.900000	0.969870	 duh
3.900000	3.980000	0.734334	 dun
3.980000	4.260000	0.606174	 chips
4.260000	4.480000	0.904047	 and
4.480000	4.900000	0.976254	 ketchup
4.900000	5.840000	0.467385	 Duh
5.840000	6.060000	0.887132	 duh
6.060000	6.520000	0.678594	 dun
6.520000	6.920000	0.441363	 duh
6.920000	7.160000	0.611593	 duh
7.160000	7.480000	0.388612	 duh
8.000000	8.240000	0.208569	 Feeling
8.240000	8.960000	0.997690	 a
8.960000	9.120000	0.986254	 little
9.120000	9.300000	0.974948	 bit
9.300000	9.540000	0.998164	 sad
9.540000	9.860000	0.997729	 today
9.860000	10.460000	0.827306	 Feeling
10.460000	10.740000	0.998858	 a
10.740000	10.880000	0.995634	 little
10.880000	11.080000	0.997976	 bit
11.080000	11.440000	0.996134	 bored
12.000000	12.260000	0.978458	 Brighton's
12.260000	12.500000	0.988457	 waiting
12.500000	12.900000	0.992701	 outside
12.900000	13.240000	0.998409	 my
13.240000	13.560000	0.998281	 door
13.560000	13.740000	0.861880	 But
13.740000	13.920000	0.977276	 nothing
13.920000	14.160000	0.958424	 sounds
14.160000	14.420000	0.997840	 fun
14.420000	14.820000	0.939682	 anymore
14.820000	15.340000	0.913122	 Could
15.340000	15.500000	0.998134	 get
15.500000	15.600000	0.985994	 a
15.600000	15.860000	0.992255	 pizza
15.860000	16.080000	0.994788	 at
16.080000	16.860000	0.830891	 Donatello's
16.860000	17.000000	0.751305	 Sit
17.000000	17.180000	0.997369	 in
17.180000	17.320000	0.995323	 the
17.320000	17.580000	0.990590	 lanes
17.580000	17.680000	0.979149	 and
17.680000	17.840000	0.998438	 watch
17.840000	18.020000	0.998405	 the
18.020000	18.240000	0.990032	 crowds
18.240000	18.500000	0.998299	 go
18.500000	18.700000	0.984080	 But
18.700000	18.860000	0.991554	 I'm
18.860000	19.020000	0.998367	 not
19.020000	19.400000	0.998690	 hungry
19.400000	19.520000	0.854913	 so
19.520000	19.740000	0.997936	 that's
19.740000	19.840000	0.993912	 no
19.840000	20.140000	0.999068	 good
20.140000	20.360000	0.978385	 Even
20.360000	20.520000	0.993748	 though
20.520000	20.680000	0.994042	 I
20.680000	20.940000	0.997598	 know
20.940000	21.140000	0.995355	 that
21.140000	21.280000	0.978761	 the
21.280000	21.580000	0.996521	 pizza
21.580000	21.920000	0.997251	 would
21.920000	22.480000	0.906980	 There
22.480000	22.740000	0.999478	 must
22.740000	22.980000	0.998987	 be
22.980000	23.420000	0.976182	 something
23.420000	24.260000	0.933442	 There
24.260000	24.520000	0.999876	 must
24.520000	24.740000	0.999744	 be
24.740000	25.220000	0.994970	 somewhere
25.220000	25.800000	0.440700	 I've
25.800000	25.980000	0.991456	 got
25.980000	26.140000	0.992765	 the
26.140000	26.360000	0.990937	 whole
26.360000	26.560000	0.987121	 of
26.560000	26.960000	0.973774	 Brighton
26.960000	27.120000	0.110552	 But
27.120000	27.240000	0.991016	 I
27.240000	27.500000	0.997942	 don't
27.500000	27.620000	0.462915	 wanna
27.620000	27.820000	0.995471	 go
27.820000	28.360000	0.995525	 anywhere
29.820000	30.340000	0.920638	 Donatello's
30.340000	30.440000	0.976539	 not
30.440000	30.900000	0.994508	 hungry
30.900000	31.260000	0.879449	 The
31.260000	31.680000	0.658423	 boldplex
31.680000	32.140000	0.968165	 can't
32.140000	32.220000	0.760793	 go
32.220000	32.600000	0.996536	 straight
32.600000	33.160000	0.977889	 West
33.160000	33.500000	0.742528	 Street
33.500000	33.780000	0.700114	 to
33.780000	34.280000	0.507997	 lefty
34.280000	34.700000	0.955660	 So
34.700000	34.900000	0.970602	 where
34.900000	34.980000	0.928244	 we
34.980000	35.260000	0.929254	 going?
35.380000	35.800000	0.995492	 Brighton
35.800000	36.040000	0.984146	 Beach
36.040000	36.240000	0.885451	 So
36.240000	36.500000	0.997393	 what
36.500000	36.840000	0.996398	 shall
36.840000	37.140000	0.999842	 we
37.140000	37.400000	0.999890	 do?
37.540000	38.000000	0.997016	 Where
38.000000	38.600000	0.997792	 shall
38.600000	38.900000	0.999714	 we
38.900000	39.120000	0.999577	 be?
39.240000	39.600000	0.998010	 Let's
39.600000	39.740000	0.998126	 just
39.740000	39.980000	0.998883	 go
39.980000	40.220000	0.997136	 down
40.220000	40.640000	0.999005	 Brighton
40.640000	40.900000	0.993441	 Beach
40.900000	41.100000	0.938799	 And
41.100000	41.340000	0.997550	 draw
41.340000	42.020000	0.997110	 dicks
42.020000	42.240000	0.993442	 on
42.240000	42.840000	0.986273	 pebbles
42.840000	43.140000	0.981486	 Get
43.140000	43.500000	0.994331	 chips
43.500000	43.980000	0.996399	 and
43.980000	44.540000	0.993721	 ketchup
44.540000	45.020000	0.910928	 for
45.020000	45.260000	0.954871	 tea
47.940000	48.460000	0.938774	 Could
48.460000	48.980000	0.999673	 go
48.980000	49.320000	0.982710	 shopping
49.320000	49.500000	0.999209	 in
49.500000	49.760000	0.994171	 Churchill
49.760000	50.080000	0.998589	 Square
50.080000	50.340000	0.995760	 But
50.340000	50.520000	0.998921	 there
50.520000	50.660000	0.563063	 were
50.660000	50.820000	0.999439	 far
50.820000	50.940000	0.999752	 too
50.940000	51.200000	0.999781	 many
51.200000	51.560000	0.999742	 people
51.560000	51.940000	0.970806	 there
51.940000	52.340000	0.809906	 Queues
